dataset_id,column_name,role
Samaha_2017_exp2,RT_dec,rt_decision
Samaha_2017_exp2,Condition,condition
Samaha_2017_exp2,Error,other
Samaha_2017_exp2,Delay,other
Samaha_2017_exp3,Subj_idx,subj_idx
Samaha_2017_exp3,Stimulus,stimulus
Samaha_2017_exp3,Response,response
Samaha_2017_exp3,Confidence,confidence
Samaha_2017_exp3,RT_dec,rt_decision
Samaha_2017_exp3,Task,condition
Samaha_2017_exp3,Contrast_stair,difficulty
Schmidt_2019_memory,Subj_idx,subj_idx
Schmidt_2019_memory,Stimulus,stimulus
Schmidt_2019_memory,Response,response
Schmidt_2019_memory,Accuracy,accuracy
Schmidt_2019_memory,Confidence,confidence
Schmidt_2019_memory,RT_dec,rt_decision
Schmidt_2019_memory,RT_conf,rt_confidence
Schmidt_2019_memory,Condition,condition
Schmidt_2019_perception,Subj_idx,subj_idx
Schmidt_2019_perception,Stimulus,stimulus
Schmidt_2019_perception,Response,response
Schmidt_2019_perception,Accuracy,accuracy
Schmidt_2019_perception,Confidence,confidence
Schmidt_2019_perception,RT_dec,rt_decision
Schmidt_2019_perception,RT_conf,rt_confidence
Schmidt_2019_perception,Condition,condition
Schmidt_2019_perception,Contrast,difficulty
Schurgin_2018,Subj_idx,subj_idx
Schurgin_2018,Stimulus,stimulus
Schurgin_2018,Response,response
Schurgin_2018,Accuracy,accuracy
Schurgin_2018,Confidence,confidence
Schurgin_2018,RT_dec,rt_decision
Schurgin_2018,Setsize,other
Schurgin_2018,TargetColor,other
Schurgin_2018,TestColor,other
Schurgin_2018,Distractor1Color,other
Schurgin_2018,Distractor2Color,other
Schurgin_2018,Distractor3Color,other
Schurgin_2018,Distractor4Color,other
Schurgin_2018,Distractor5Color,other
Seow_2019,Subj_idx,subj_idx
Seow_2019,Response,response
Seow_2019,Accuracy,accuracy
Seow_2019,Confidence,confidence
Seow_2019,RT_dec,rt_decision
Seow_2019,RT_conf,rt_confidence
Seow_2019,RT_Trial,rt_other
Seow_2019,ParticleDistMean,rt_other
Seow_2019,ParticleShoot,rt_other
Seow_2019,NumCondition,condition
Seow_2019,Condition,condition
Seow_2019,TaskResets,condition
Seow_2019,TrialReward,trial_info
Seow_2019,NumTrial,other
Seow_2019,NTrialInCond,other
Seow_2019,NumBlock,other
Seow_2019,NumTrialinBlock,other
Seow_2019,HazRate,other
Seow_2019,ChangePoint,other
Seow_2019,ConfOri,other
Seow_2019,TotalReward,other
Seow_2019,Age,other
Seow_2019,Gender,other
Seow_2019,QnTrap,other
Seow_2019,IQ,other
Seow_2019,Cigrette,other
Seow_2019,Alcohol,other
Seow_2019,Apathy,other
Seow_2019,Impusivity,other
Seow_2019,EatingDis,other
Seow_2019,SocialAnx,other
Seow_2019,OCD,other
Seow_2019,Schizotypy,other
Seow_2019,Depression,other
Seow_2019,TraitAnx,other
Shekhar_2018,Subj_idx,subj_idx
Shekhar_2018,Stimulus,stimulus
Shekhar_2018,Response,response
Shekhar_2018,Confidence,confidence
Shekhar_2018,RT_decConf,rt_combined
Shekhar_2018,Contrast,difficulty
Shekhar_2018,TMSsite,other
Shekhar_2021,Subj_idx,subj_idx
Shekhar_2021,Stimulus,stimulus
Shekhar_2021,Response,response
Shekhar_2021,Confidence,confidence
Shekhar_2021,RT_decConf,rt_combined
Shekhar_2021,Contrast,difficulty
Sherman_2016_JN,Subj_idx,subj_idx
Sherman_2016_JN,Stimulus,stimulus
Sherman_2016_JN,Response,response
Sherman_2016_JN,Accuracy,accuracy
Sherman_2016_JN,Confidence,confidence
Sherman_2016_JN,RT_dec,rt_decision
Sherman_2016_JN,RT_conf,rt_confidence
Sherman_2016_JN,Condition,condition
Sherman_2016_JN,Contrast,difficulty
Sherman_2016_JN,Visual_search_accuracy,other
Sherman_2016_JOCN,Subj_idx,subj_idx
Sherman_2016_JOCN,Stimulus,stimulus
Sherman_2016_JOCN,Response,response
Sherman_2016_JOCN,Accuracy,accuracy
Sherman_2016_JOCN,Confidence,confidence
Sherman_2016_JOCN,RT_dec,rt_decision
Sherman_2016_JOCN,RT_conf,rt_confidence
